Date,Time,Open,High,Low,Close,Volume
1/23/2017,10:54:00,8399.5,8400.9,8399.5,8400,15225
1/23/2017,10:55:00,8399.6,8401.65,8399,8401.6,34500
1/23/2017,10:56:00,8401.6,8404.25,8399.75,8400.3,51000
1/23/2017,10:57:00,8400.5,8402.55,8400.2,8402.55,19500
1/23/2017,10:58:00,8402.85,8404,8402.15,8402.85,25725
1/23/2017,10:59:00,8402,8403,8398.6,8400,19425
1/23/2017,11:00:00,8400.85,8404,8400.75,8402.35,20775
1/23/2017,11:01:00,8402.45,8408.95,8402.45,8405,109800
1/23/2017,11:02:00,8405,8405,8402.65,8405,30225
1/23/2017,11:03:00,8405,8408,8404,8406.75,25575
1/23/2017,11:04:00,8407,8408.5,8404.15,8406,24750
1/23/2017,11:05:00,8406,8418,8406,8413.75,271950
1/23/2017,11:06:00,8413.85,8414.85,8412.75,8412.95,35475
1/23/2017,11:07:00,8412.95,8413.9,8411,8411,46050
1/23/2017,11:08:00,8411.15,8412.35,8410,8410,42225
1/23/2017,11:09:00,8410,8411,8408.35,8408.65,22725
1/23/2017,11:10:00,8408.65,8411.3,8406.75,8406.75,74925
1/23/2017,11:11:00,8407,8407,8401.5,8403.3,66900
1/23/2017,11:12:00,8403.3,8405.45,8402.6,8405,21975
1/23/2017,11:13:00,8405,8406.45,8404.3,8406.4,15075
1/23/2017,11:14:00,8404.5,8405,8404.45,8404.8,17100
1/23/2017,11:15:00,8405.6,8407.05,8405,8405.8,18225
1/23/2017,11:16:00,8403.75,8404.5,8402.6,8403,7800
1/23/2017,11:17:00,8402,8403,8401.05,8401.5,32775
1/23/2017,11:18:00,8403,8403.15,8401,8401,28125
1/23/2017,11:19:00,8401,8402,8400.9,8401.35,20550
1/23/2017,11:20:00,8400.1,8401,8398.5,8398.65,25350
1/23/2017,11:21:00,8398.5,8401.9,8398.5,8400.8,20400
1/23/2017,11:22:00,8400.8,8401.15,8400,8400,7425
1/23/2017,11:23:00,8400,8402,8400,8402,5100
1/23/2017,11:24:00,8402,8402.5,8401,8401,13500
1/23/2017,11:25:00,8401,8402.4,8400.15,8401.3,12750
1/23/2017,11:26:00,8401.3,8402.7,8401,8402.1,9150
1/23/2017,11:27:00,8402.6,8403.15,8401.65,8401.65,13200
1/23/2017,11:28:00,8401.65,8402.25,8401,8401.9,4575
1/23/2017,11:29:00,8403,8403.85,8402,8402.05,31725
1/23/2017,11:30:00,8401.55,8403.65,8401.3,8402.1,20250
1/23/2017,11:31:00,8403,8403,8399.8,8400.05,22800
1/23/2017,11:32:00,8399.8,8401.15,8399.25,8401.05,13275
1/23/2017,11:33:00,8401.05,8403.5,8401.05,8403.5,11625
1/23/2017,11:34:00,8403.5,8403.5,8399.5,8400.05,23850
1/23/2017,11:35:00,8400.05,8400.9,8399.8,8400,9450
1/23/2017,11:36:00,8400,8401.55,8399.5,8400.3,18825
1/23/2017,11:37:00,8400.3,8400.65,8399,8400,24000
1/23/2017,11:38:00,8400,8401.25,8399.2,8399.8,16050
1/23/2017,11:39:00,8400,8400.05,8395.4,8398.55,33000
1/23/2017,11:40:00,8398.55,8398.7,8396.15,8398.1,15300
1/23/2017,11:41:00,8398.1,8400,8397.7,8399.75,22425
1/23/2017,11:42:00,8399.25,8401.4,8399.05,8400,20400
1/23/2017,11:43:00,8399.95,8401.15,8399.4,8400.25,10725
1/23/2017,11:44:00,8400.25,8401.35,8399,8400.45,4875
1/23/2017,11:45:00,8400.9,8401.15,8400.05,8401,5475
1/23/2017,11:46:00,8401.05,8401.8,8399.5,8400.4,12600
1/23/2017,11:47:00,8400.4,8400.4,8397.4,8398.05,17175
1/23/2017,11:48:00,8398.05,8398.5,8392.2,8392.9,31650
1/23/2017,11:49:00,8392.1,8394,8390.6,8394,25575
1/23/2017,11:50:00,8393.65,8393.65,8390.05,8390.05,18300
1/23/2017,11:51:00,8389.8,8390.7,8388.4,8390.7,40950
1/23/2017,11:52:00,8391.2,8391.9,8389.25,8391.9,20850
1/23/2017,11:53:00,8391.9,8392.1,8388,8389.75,37350
1/23/2017,11:54:00,8389.55,8389.95,8387.45,8387.45,22650
1/23/2017,11:55:00,8387.4,8387.4,8382.6,8386.05,69750
1/23/2017,11:56:00,8386.35,8386.75,8384,8385.1,37275
1/23/2017,11:57:00,8385.05,8387,8383.65,8383.65,33600
1/23/2017,11:58:00,8383.85,8383.85,8380,8380.3,69750
1/23/2017,11:59:00,8381.55,8383.75,8381.05,8383.5,38775
1/23/2017,12:00:00,8380.65,8381.25,8376.7,8377,89400
1/23/2017,12:01:00,8377.75,8380.8,8377,8380,93600
1/23/2017,12:02:00,8380.05,8382,8380.05,8380.45,24375
1/23/2017,12:03:00,8382,8383.9,8382,8382.9,33075
1/23/2017,12:04:00,8383.95,8384,8383,8383.95,28725
1/23/2017,12:05:00,8383.05,8384,8380.2,8382.7,31125
1/23/2017,12:06:00,8383.8,8384,8382.6,8383.7,9675
1/23/2017,12:07:00,8383.95,8384,8382.05,8383,11100
1/23/2017,12:08:00,8383,8383.4,8382.1,8382.6,15900
1/23/2017,12:09:00,8382.15,8384,8382.1,8384,44550
1/23/2017,12:10:00,8384,8385.85,8384,8384.9,28950
1/23/2017,12:11:00,8385.5,8386.4,8384.55,8384.75,22950
1/23/2017,12:12:00,8383.85,8384.6,8383,8383.85,7200
1/23/2017,12:13:00,8383.85,8384.9,8383,8384.1,7725
1/23/2017,12:14:00,8384,8384.8,8383.2,8384.8,11250
1/23/2017,12:15:00,8384.8,8384.9,8381.7,8381.7,7650
1/23/2017,12:16:00,8381.7,8382.15,8380.3,8381,20550
1/23/2017,12:17:00,8379,8380.8,8378.5,8379.05,20400
1/23/2017,12:18:00,8378.6,8379.5,8378.5,8378.65,18225
1/23/2017,12:19:00,8379.95,8380,8379,8380,17925
1/23/2017,12:20:00,8381.35,8383,8380.2,8381.85,16500
1/23/2017,12:21:00,8382,8382.75,8381.35,8381.6,14775
1/23/2017,12:22:00,8379.95,8381,8379.05,8381,30900
1/23/2017,12:23:00,8382,8383.95,8381,8383.95,15675
1/23/2017,12:24:00,8383.95,8383.95,8379,8379.6,13200
1/23/2017,12:25:00,8380,8381,8379,8380,11475
1/23/2017,12:26:00,8381.2,8382.5,8381.2,8381.7,13350
